area_id,weight,weight_perc2.5,weight_perc25,weight_perc50,weight_perc75,weight_perc97.5,weight_std,weight_ci95,volume,volume_perc2.5,volume_perc25,volume_perc50,volume_perc75,volume_perc97.5,volume_std,volume_ci95,fat,fat_perc2.5,fat_perc25,fat_perc50,fat_perc75,fat_perc97.5,fat_std,fat_ci95,saturate,saturate_perc2.5,saturate_perc25,saturate_perc50,saturate_perc75,saturate_perc97.5,saturate_std,saturate_ci95,salt,salt_perc2.5,salt_perc25,salt_perc50,salt_perc75,salt_perc97.5,salt_std,salt_ci95,sugar,sugar_perc2.5,sugar_perc25,sugar_perc50,sugar_perc75,sugar_perc97.5,sugar_std,sugar_ci95,protein,protein_perc2.5,protein_perc25,protein_perc50,protein_perc75,protein_perc97.5,protein_std,protein_ci95,carb,carb_perc2.5,carb_perc25,carb_perc50,carb_perc75,carb_perc97.5,carb_std,carb_ci95,fibre,fibre_perc2.5,fibre_perc25,fibre_perc50,fibre_perc75,fibre_perc97.5,fibre_std,fibre_ci95,alcohol,alcohol_perc2.5,alcohol_perc25,alcohol_perc50,alcohol_perc75,alcohol_perc97.5,alcohol_std,alcohol_ci95,energy_fat,energy_fat_perc2.5,energy_fat_perc25,energy_fat_perc50,energy_fat_perc75,energy_fat_perc97.5,energy_fat_std,energy_fat_ci95,energy_saturate,energy_saturate_perc2.5,energy_saturate_perc25,energy_saturate_perc50,energy_saturate_perc75,energy_saturate_perc97.5,energy_saturate_std,energy_saturate_ci95,energy_sugar,energy_sugar_perc2.5,energy_sugar_perc25,energy_sugar_perc50,energy_sugar_perc75,energy_sugar_perc97.5,energy_sugar_std,energy_sugar_ci95,energy_protein,energy_protein_perc2.5,energy_protein_perc25,energy_protein_perc50,energy_protein_perc75,energy_protein_perc97.5,energy_protein_std,energy_protein_ci95,energy_carb,energy_carb_perc2.5,energy_carb_perc25,energy_carb_perc50,energy_carb_perc75,energy_carb_perc97.5,energy_carb_std,energy_carb_ci95,energy_fibre,energy_fibre_perc2.5,energy_fibre_perc25,energy_fibre_perc50,energy_fibre_perc75,energy_fibre_perc97.5,energy_fibre_std,energy_fibre_ci95,energy_alcohol,energy_alcohol_perc2.5,energy_alcohol_perc25,energy_alcohol_perc50,energy_alcohol_perc75,energy_alcohol_perc97.5,energy_alcohol_std,energy_alcohol_ci95,energy_tot,energy_tot_perc2.5,energy_tot_perc25,energy_tot_perc50,energy_tot_perc75,energy_tot_perc97.5,energy_tot_std,energy_tot_ci95,f_energy_fat,f_energy_saturate,f_energy_sugar,f_energy_protein,f_energy_carb,f_energy_fibre,f_energy_alcohol,energy_density,h_nutrients_weight,h_nutrients_weight_norm,h_nutrients_calories,h_nutrients_calories_norm,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,h_items,h_items_norm,h_items_weight,h_items_weight_norm,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,people_per_sq_km
E02000001,330.8788102,32.5,150,260,440,1000,342.5536258,3.607263094,104.0119226,15,50,75,113.6,340.8,82.29865124,1.848129167,8.166676121,0,0.2,1.8,11.3,46.4,13.63663671,0.115837797,3.249624786,0,0.1,0.5,3.1,20.7,6.396880773,0.054338954,0.551655652,0,0.01,0.12,0.7,2.6,1.532631362,0.013019093,8.950145382,0,0.9,3.4,9.6,56.8,14.82772064,0.125955581,5.394014726,0,0.6,2.9,7.9,24,6.741317297,0.057264805,15.80437236,0,0.4,5.3,19.6,72,21.69707928,0.184308046,1.645275644,0,0,1,2.2,8.4,2.686711074,0.02282254,0.294573074,0,0,0,0,7.11,1.740863859,0.014787945,73.50008509,0,1.8,16.2,101.7,417.6,122.7297304,1.042540176,29.24662308,0,0.9,4.5,27.9,186.3,57.57192695,0.489050588,35.80058153,0,3.6,13.6,38.4,227.2,59.31088257,0.503822324,21.5760589,0,2.4,11.6,31.6,96,26.96526919,0.229059221,63.21748943,0,1.6,21.2,78.4,288,86.78831711,0.737232186,3.105290483,0,0,1.6,4.4,16,5.273080452,0.044792718,2.062011517,0,0,0,0,49.77,12.18604701,0.103515616,163.4609354,0,41,91.9,252,551.03,166.1946015,1.411756944,0.449649238,0.178921178,0.21901613,0.1319952,0.386743715,0.018997141,0.012614705,0.494020561,1.727382071,0.743942965,1.622381332,0.698721608,0.013920241,0.133069977,0.011455982,0.023570354,0.021275395,0.312697517,0.130041384,0.051109857,0.018735892,0.058521445,0.013017306,0.02217833,0.002671181,0.128837472,0.0082769,0.025,0.025620767,0.084957163,0.026251059,0.022541197,0.018836601,0.392731328,0.175694525,0.060632699,0.043000632,0.074016212,0.016377341,0.084961243,3.19896179,0.782627736,2.759430747,0.797654369,0.593422767,31,72358,8932,6687,3697,2990,1018,4349,1320,43.91012412,2.9,2305.862069
E02000002,383.9593676,35,162.75,300,500,1000,418.3755936,16.31030457,120.8301255,21.85,50,100,175,340.8,98.51211555,8.853747681,8.409332816,0,0.2,2.5,12.65,40.14,12.98468909,0.409381817,3.173961727,0,0.1,0.8,3.5,19,5.581322932,0.175968181,0.580103439,0,0.04,0.2,0.8,2.2,1.93180073,0.060905894,10.63275149,0,1.5,4.4,11.8,57.1,15.94357651,0.502669742,4.990884407,0,0.6,3,7.8,22.1,5.865744925,0.18493545,20.16890871,0,1.7,10,30.8,74,23.83800833,0.751565717,1.794396173,0,0,1.1,2.4,8.9,2.93510098,0.092537986,0.100419436,0,0,0,0,0,1.060796908,0.033444849,75.68399535,0,1.8,22.5,113.85,361.26,116.8622018,3.684436355,28.56565555,0,0.9,7.2,31.5,171,50.23190639,1.583713632,42.53100595,0,6,17.6,47.2,228.4,63.77430602,2.01067897,19.96353763,0,2.4,12,31.2,88.4,23.4629797,0.739741799,80.67563486,0,6.8,40,123.2,296,95.35203332,3.006262868,3.30257564,0,0,2,4.6,16.8,5.54775785,0.17490994,0.702936054,0,0,0,0,0,7.425578358,0.234113943,180.3286795,0,41.7,110.4,288.6,540.6,172.4999079,5.438584262,0.419700269,0.158408832,0.2358527,0.110706393,0.447381055,0.018314201,0.003898082,0.469655632,1.595302902,0.687059563,1.53325462,0.660336822,0.006216006,0.097902098,0.011396011,0.018648019,0.015540016,0.25951826,0.171199171,0.038591039,0.022792023,0.072002072,0.014504015,0.034188034,0.002590003,0.17042217,0.011137011,0.048174048,0.005180005,0.053222987,0.031437283,0.020383294,0.018639897,0.370752016,0.206374117,0.044833474,0.052542054,0.061194583,0.020195127,0.120425168,3.202438186,0.783478238,2.756524659,0.796814322,0.067475819,31,5702,774,7379,3549,3830,2150,4151,1078,35.56728554,2.16,3416.203704
E02000003,372.7166667,30,150,270,500,1000,472.769767,12.94779591,122.9826584,20,45,100,227.2,340.8,97.72725355,6.18012689,9.245755668,0,0.2,2.5,13.8,47,14.57331681,0.320599221,3.6687267,0,0.1,0.9,4,21,6.829709856,0.150247173,0.534438634,0,0.05,0.23,0.8,2.1,1.25241169,0.027551876,10.75538665,0,1.4,4.2,11.8,58.3,16.20286896,0.356447831,5.331008816,0,0.6,3.4,8.2,23,6.013358135,0.132288206,22.17536902,0,1.575,11.1,42.675,75,25.22017332,0.554820019,1.709073048,0,0,1.1,2.4,7.8,2.59846386,0.057163753,0.088228622,0,0,0,0,0,0.929478689,0.020447654,83.21180101,0,1.8,22.5,124.2,423,131.1598513,2.885392987,33.0185403,0,0.9,8.1,36,189,61.46738871,1.352224561,43.0215466,0,5.6,16.8,47.2,233.2,64.81147584,1.425791323,21.32403526,0,2.4,13.6,32.8,92,24.05343254,0.529152823,88.70147607,0,6.3,44.4,170.7,300,100.8806933,2.219280078,3.151261965,0,0,1.8,4.4,15.4,5.014201017,0.110307692,0.617600355,0,0,0,0,0,6.506350825,0.14313358,197.0061747,0,46.5,133.8,332.9,562.04,180.7263513,3.975809225,0.42238169,0.16760155,0.218376641,0.108240441,0.450247188,0.015995752,0.003134929,0.528568192,1.567028885,0.674882607,1.512219978,0.651277695,0.004303253,0.107581319,0.010251867,0.025566384,0.01961777,0.22997089,0.19984812,0.040754335,0.015694216,0.069864574,0.010378433,0.042779395,0.002531325,0.176813062,0.007467409,0.030249336,0.006328313,0.068198902,0.026712673,0.026277508,0.019926638,0.295194067,0.310156865,0.046557354,0.039708398,0.050535702,0.014262093,0.102469801,3.174835742,0.776725286,2.730502456,0.789292218,0.086897558,31,11381,1616,10720,5297,5423,2762,6649,1309,35.70046642,2.14,5009.345794
E02000004,351.7106541,25,120,250,450,1000,479.6981553,18.61644522,110.005492,18.7,47.1,75,150,340.8,89.6365386,8.427518168,9.29535811,0,0.3,3,14.15,37.09,13.85539452,0.426160313,3.433979818,0,0.1,1,4.1,19.6,5.739225406,0.176525475,0.604835897,0,0.08,0.3,0.86,2.3,1.453557496,0.044708111,10.98913611,0,1.1,3.6,11.6,60.56,17.54609569,0.539677858,5.376603495,0,0.4,3.2,8.6,22.89,6.186678218,0.190288102,19.74259168,0,0.4,9.6,29.55,73,23.36480583,0.718648101,1.606620724,0,0,1,2.2,7.9,2.509938488,0.077199979,0.070775437,0,0,0,0,0,0.804363098,0.024740373,83.65822299,0,2.7,27,127.35,333.81,124.6985506,3.835442816,30.90581836,0,0.9,9,36.9,176.4,51.65302865,1.588729273,43.95654443,0,4.4,14.4,46.4,242.24,70.18438276,2.158711431,21.50641398,0,1.6,12.8,34.4,91.56,24.74671287,0.761152408,78.97036672,0,1.6,38.4,118.2,292,93.45922333,2.874592406,2.954664041,0,0,1.4,4.2,15.4,4.885801964,0.150276117,0.495428058,0,0,0,0,0,5.630541685,0.173182612,187.5850958,0,45.6,135.485,285.4,542.92,172.6453623,5.310177313,0.445974786,0.164756258,0.234328555,0.114648842,0.420984228,0.01575106,0.002641084,0.533350621,1.606835667,0.692026454,1.520189612,0.65471003,0.003213844,0.081829419,0.008652658,0.023980222,0.019035847,0.203461063,0.171817058,0.049938195,0.022249691,0.111001236,0.011124845,0.045241038,0.000741656,0.198269468,0.004697157,0.036588381,0.00815822,0.05344917,0.030593903,0.027415199,0.020061631,0.290351676,0.231375567,0.06573637,0.052007384,0.086811045,0.014318802,0.127879252,3.225710305,0.789171775,2.894996411,0.836841635,0.073043653,31,6074,881,6536,3119,3417,1454,4044,1038,38.49311505,2.48,2635.483871
E02000005,399.4525641,32.5,150,300,500,1160,478.1679843,14.3127312,141.5020286,15,37.75,100,227.2,340.8,128.5532959,8.71641217,9.025883941,0,0.3,2.5,13.8,40,13.61828661,0.326903102,3.678779427,0,0.1,0.9,4.2,21,6.322757291,0.151775993,0.552246139,0,0.05,0.2,0.8,2.2,1.633501173,0.039211732,11.79037337,0,1.5,4.7,12.6,59.62,17.40804197,0.417875103,5.0405713,0,0.5,3.2,7.7,22.56,5.855987885,0.140571326,21.16245764,0,1.5,10.1,40.4,76,24.66683237,0.592120305,1.592672065,0,0,1.1,2.3,7.5,2.209106921,0.053028984,0.090177064,0,0,0,0,0,1.14805296,0.027558685,81.23295547,0,2.7,22.5,124.2,360,122.5645795,2.942127918,33.10901484,0,0.9,8.1,37.8,189,56.90481562,1.365983936,47.16149348,0,6,18.8,50.4,238.48,69.63216789,1.671500413,20.1622852,0,2,12.8,30.8,90.24,23.42395154,0.562285304,84.64983056,0,6,40.4,161.6,304,98.66732949,2.36848122,2.916089369,0,0,1.8,4.4,14.26,4.233897892,0.101633516,0.631239448,0,0,0,0,0,8.036370719,0.192910797,189.5924,0,41.7,126.7,309.1,545,176.6915856,4.241431326,0.428461032,0.174632606,0.248752025,0.106345429,0.446483248,0.015380835,0.003329455,0.474630575,1.566104379,0.674484443,1.507181006,0.649107528,0.003610108,0.120036101,0.009777377,0.02166065,0.01790012,0.240072202,0.177196149,0.033694344,0.015192539,0.064981949,0.011582431,0.033995187,0.001052948,0.194645006,0.005415162,0.040012034,0.009175692,0.08262481,0.02809944,0.025203117,0.016618744,0.339564275,0.25261502,0.037380129,0.032510029,0.052603303,0.015398869,0.117382265,3.133757816,0.766675548,2.721605554,0.786720437,0.068020687,31,9981,1208,9243,4478,4765,2678,5554,1011,34.15633452,1.19,7767.226891
E02000007,381.7534514,32.5,150,320,500,1000,388.0992099,12.28057707,117.3208079,21.6875,50,100,175,340.8,93.20384045,7.145509845,8.754018169,0,0.2,2.6,13,45,13.80983671,0.357831592,3.428345563,0,0.1,0.9,4.1,19.5,6.472841404,0.167720096,0.640647537,0,0.07,0.25,0.8025,2.5,1.989390829,0.051547814,10.80087526,0,1.4,4.4,11.8,58.4925,16.44155843,0.42602307,5.314571978,0,0.6,3.2,7.9,23.5,6.332175155,0.164075243,20.0528232,0,1.3,10.2,32.2,75.9925,23.8632744,0.618329793,1.560377358,0,0,1,2.2,7.3,2.266391883,0.058725286,0.114276385,0,0,0,0,0,1.220610683,0.031627678,78.78616352,0,1.8,23.4,117,405,124.2885304,3.22048433,30.85511006,0,0.9,8.1,36.9,175.5,58.25557264,1.509480868,43.20350105,0,5.6,17.6,47.2,233.97,65.76623372,1.70409228,21.25828791,0,2.4,12.8,31.6,94,25.32870062,0.656300973,80.2112928,0,5.2,40.8,128.8,303.97,95.4530976,2.473319171,2.961390636,0,0,1.6,4.2,14.4,4.533076977,0.11745817,0.799934698,0,0,0,0,0,8.544274779,0.221393744,184.0170696,0,44.9,119.8,283.725,541,172.3221631,4.465100875,0.428145952,0.16767526,0.234779856,0.115523456,0.435890502,0.016093021,0.004347068,0.482031188,1.597242061,0.687894713,1.535845441,0.661452628,0.004040759,0.115425158,0.01054111,0.025650035,0.018095573,0.232080112,0.167955025,0.055340829,0.021609276,0.071503865,0.01563598,0.031447646,0.001405481,0.171820098,0.007203092,0.041813071,0.008432888,0.072709505,0.028964062,0.029127957,0.02065015,0.333706483,0.19641077,0.063723002,0.051209095,0.069064757,0.015677504,0.118756716,3.246850738,0.794343793,2.874718088,0.830979885,0.042646758,31,8499,894,9664,4651,5013,2906,5681,1077,33.75196606,1.74,5554.022989
E02000008,403.674028,32.5,160,300,500,1500,440.5602405,10.3826381,122.0991325,23,47.45,100,175,340.8,103.5274765,5.703732707,8.765898838,0,0.2,2.4,13,47,14.11201758,0.273348914,3.327130163,0,0.1,0.8,3.7,20,6.166106423,0.119437103,0.595329851,0,0.04,0.23,0.8,2.4,1.726816669,0.033448333,10.39020603,0,1.1,3.8,11.4,58.4,16.29237412,0.315582287,5.422858119,0,0.6,3.2,8,23.7,6.515640039,0.126207548,19.63248706,0,0.5,8.5,32.9,74,23.94374062,0.463788786,1.593063177,0,0,1,2.2,7.2,2.468602239,0.047816674,0.198875964,0,0,0,0,0,1.713581022,0.033191959,78.89308954,0,1.8,21.6,117,423,127.0081583,2.460140229,29.94417147,0,0.9,7.2,33.3,180,55.4949578,1.074933926,41.56082414,0,4.4,15.2,45.6,233.6,65.1694965,1.262329147,21.69143248,0,2.4,12.8,32,94.8,26.06256016,0.50483019,78.52994825,0,2,34,131.6,296,95.77496248,1.855155144,2.999316473,0,0,1.6,4.4,14,4.767094601,0.09233833,1.39213175,0,0,0,0,0,11.99506715,0.232343714,183.5059185,0,41.7,118,288.4,559.1,174.9486508,3.388744626,0.429921226,0.163178233,0.2264822,0.118205629,0.427942319,0.016344522,0.007586304,0.454589361,1.62721025,0.70080131,1.562181393,0.672794905,0.015336217,0.098210775,0.011895399,0.029099489,0.02034998,0.247640582,0.154345262,0.059083759,0.024577271,0.062917814,0.01818718,0.034899725,0.004128982,0.174793551,0.007078254,0.033130161,0.0043256,0.061702719,0.033075123,0.026564633,0.016998023,0.355586144,0.190056115,0.068931825,0.056994542,0.057086056,0.020996409,0.112008411,3.29245619,0.805501192,2.84344961,0.821941268,0.077287268,31,15223,1470,12282,5933,6349,3530,7400,1352,34.45131086,1.42,8649.295775
E02000009,399.9084127,32.5,165,320,500,1020,455.524876,8.384941227,123.8830563,19,45,100,200,340.8,114.9659747,4.84430025,8.540186022,0,0.3,2.4,12.7,42.4875,13.25073983,0.197719096,3.335528512,0,0.1,0.7,4,19.5,5.897451123,0.087998008,0.612043846,0,0.09,0.25,0.8,2.4,1.498625525,0.022361535,10.36394935,0,1.2,3.8,11,59,16.37009759,0.244264165,5.332256606,0,0.5,3.2,8.1,23.6,6.250979184,0.093273128,20.30742582,0,0.5,9.2,36.9,74,24.2022669,0.361130805,1.666301576,0,0,1,2.3,8.4,2.554417071,0.038115384,0.213883396,0,0,0,0,0,2.044405205,0.030505312,76.8616742,0,2.7,21.6,114.3,382.3875,119.2566585,1.779471867,30.01975661,0,0.9,6.3,36,175.5,53.07706011,0.79198207,41.4557974,0,4.8,15.2,44,236,65.48039037,0.977056661,21.32902643,0,2,12.8,32.4,94.4,25.00391673,0.373092513,81.22970329,0,2,36.8,147.6,296,96.8090676,1.44452322,3.150839128,0,0,1.8,4.4,16,4.975172179,0.074236349,1.497183771,0,0,0,0,0,14.31083643,0.213537182,184.0684268,0,42.3,127.35,287.175,541,170.3274566,2.541517774,0.417571202,0.1630902,0.225219491,0.11587553,0.441301665,0.01711776,0.008133843,0.460276456,1.615280508,0.69566345,1.564123208,0.673631199,0.006987306,0.105741237,0.012751834,0.028240363,0.018923955,0.237859555,0.16635612,0.054209852,0.01688599,0.068475603,0.017002446,0.037906137,0.003493653,0.170664959,0.01094678,0.035868173,0.007686037,0.061305599,0.033810076,0.027951533,0.017138365,0.348863838,0.215269976,0.060852349,0.038860882,0.061265568,0.019527735,0.115154079,3.282468041,0.803057586,2.808587861,0.811863962,0.143165443,31,25885,2218,10504,5095,5409,3192,6498,814,31.68621478,0.96,10941.66667
E02000010,395.8413086,32.5,150,300,500,1200,554.7123773,17.08906406,117.7095484,20,44,80,176,340.8,103.5241621,7.299928683,8.744416187,0,0.2,2.4,12.9,48.1,13.96480086,0.346224226,3.410787268,0,0.1,0.7,3.7,20,6.357882348,0.157628663,0.574418426,0,0.05,0.28,0.8,2.4,1.230710867,0.030512567,9.953254958,0,1.1,3.7,11,57,15.63058644,0.387523441,5.541319578,0,0.6,3.4,8.2,23.5725,6.427012996,0.159342594,20.14908189,0,0.9,8.8,36.1,73.5,24.10695597,0.597674986,1.681888996,0,0,1.1,2.2,8.4,2.517813934,0.062423245,0.150240585,0,0,0,0,0,1.353056668,0.033545842,78.69974568,0,1.8,21.6,116.1,432.9,125.6832078,3.116018031,30.69708541,0,0.9,6.3,33.3,180,57.22094113,1.418657969,39.81301983,0,4.4,14.8,44,228,62.52234576,1.550093765,22.16527831,0,2.4,13.6,32.8,94.29,25.70805198,0.637370377,80.59632758,0,3.6,35.2,144.4,294,96.42782386,2.390699944,3.112284069,0,0,2,4.4,16,4.888141449,0.121189912,1.051684098,0,0,0,0,0,9.471396675,0.234820891,185.6253197,0,41.7,124.4,293.2,558.425,173.7770725,4.308391717,0.423970964,0.165371219,0.214480545,0.119408701,0.434188222,0.016766485,0.005665628,0.468938728,1.618290376,0.696959729,1.554740938,0.669590476,0.012737827,0.099161561,0.006772009,0.027894228,0.0248307,0.243147372,0.178813286,0.044663012,0.019187359,0.083682683,0.014833925,0.03627862,0.003547243,0.160593357,0.008868107,0.029667849,0.005320864,0.060949051,0.01631923,0.026382126,0.024179156,0.330076581,0.272190344,0.047801746,0.044061922,0.069394631,0.016457113,0.0921881,3.25289762,0.795823166,2.739757091,0.791967408,0.064836909,31,9559,1087,9091,4344,4747,2733,5479,879,33.47420526,1.12,8116.964286
E02000011,384.3698245,23.575,150,300,500,1200,442.7671094,15.10297824,114.3894097,25,47.775,75,125,340.8,113.6372986,9.299784013,8.802521789,0,0.2,2.3,13.5,46.5,13.88100462,0.374570802,3.308175445,0,0.1,0.8,3.9,19,5.937135077,0.160210122,0.569634189,0,0.01,0.2,0.82,2.2,1.405098546,0.037915764,11.37571997,0,1.4,4.6,13.8,59.5,16.49287935,0.445050715,4.991373626,0,0.6,2.9,7.7,23,5.979218783,0.161345726,20.82869079,0,1.3,11.1,36.8,75.06,24.30945,0.655976309,1.850322092,0,0,1.2,2.5,8.8,3.072886757,0.082920054,0.152388973,0,0,0,0,0,1.568723693,0.042331093,79.2226961,0,1.8,20.7,121.5,418.5,124.9290416,3.371137214,29.77357901,0,0.9,7.2,35.1,171,53.4342157,1.441891099,45.50287988,0,5.6,18.4,55.2,238,65.97151739,1.780202862,19.96549451,0,2.4,11.6,30.8,92,23.91687513,0.645382905,83.31476317,0,5.2,44.4,147.2,300.24,97.23780002,2.623905235,3.338575218,0,0,2,4.8,16,5.619586711,0.151641265,1.066722812,0,0,0,0,0,10.98106585,0.296317648,186.9082518,0,46.2,118.1,299.375,544.83,174.8157597,4.717301162,0.42385874,0.159295155,0.243450353,0.106819759,0.445752193,0.017862107,0.0057072,0.486271918,1.599769589,0.688983261,1.535431158,0.661274206,0.012593017,0.111238313,0.009349361,0.024804427,0.018507918,0.266742988,0.176874642,0.039114673,0.014691853,0.064682313,0.009158558,0.030719328,0.002671246,0.179927495,0.009158558,0.023659607,0.006105705,0.087573345,0.028039747,0.024681018,0.016274657,0.350379216,0.23851946,0.044195188,0.0348494,0.04115278,0.009650187,0.124685,3.131371591,0.766091757,2.700285878,0.780557668,0.083169959,31,7569,915,6761,3318,3443,1774,4069,918,36.31237983,1.6,4225.625
